# BUSCO version is: 3.0.2 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 8, number of BUSCOs: 982)
# To reproduce this run: python /home/banaeiak/miniconda3/envs/Busco/bin/run_BUSCO.py -i haemonchus_contortus.PRJNA205202.WBPS9.genomic.fa -o haemonchus_contortus.PRJNA205202.WBPS9.genomic.faBuscoResult.txt -l ../Database/nematoda_odb9/ -m genome -c 4 -sp caenorhabditis
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091H0002	Missing
EOG091H000H	Missing
EOG091H0016	Missing
EOG091H001E	Missing
EOG091H0021	Complete	scaffold19670	102746	132390	1756.2	1374
EOG091H0025	Complete	scaffold1011	4042	26147	1516.9	1064
EOG091H0026	Complete	C470339	1	36936	2603.6	3472
EOG091H0027	Missing
EOG091H0029	Complete	scaffold17057	65983	95237	2418.2	1788
EOG091H002E	Complete	scaffold172	96699	112001	3004.3	1663
EOG091H002I	Complete	scaffold13646	1	7818	607.1	683
EOG091H002T	Complete	scaffold757	30408	38978	1724.0	1273
EOG091H0034	Missing
EOG091H0037	Missing
EOG091H003H	Complete	scaffold668	17453	47495	873.4	967
EOG091H003N	Missing
EOG091H003X	Missing
EOG091H004B	Complete	scaffold6377	2387	20515	883.3	1312
EOG091H004H	Complete	scaffold15326	1	25987	2035.1	1584
EOG091H004L	Missing
EOG091H004P	Missing
EOG091H004U	Complete	scaffold18433	86352	103511	3631.7	1983
EOG091H005M	Missing
EOG091H0061	Complete	scaffold12629	10865	33164	1670.0	1062
EOG091H0069	Missing
EOG091H006B	Complete	C469321	2446	19254	1063.7	903
EOG091H006J	Missing
EOG091H006P	Complete	scaffold4825	55875	65761	1133.2	823
EOG091H0074	Complete	C470153	24415	28269	458.0	422
EOG091H007C	Missing
EOG091H007E	Missing
EOG091H007U	Fragmented	scaffold14143	57548	65599	935.3	634
EOG091H0081	Missing
EOG091H008D	Complete	scaffold10923	28016	47290	542.2	403
EOG091H008P	Complete	scaffold19462	47755	76522	1545.1	957
EOG091H008Q	Complete	scaffold14910	91267	118040	653.9	841
EOG091H008U	Fragmented	scaffold14616	5957	12322	538.2	478
EOG091H008Z	Fragmented	scaffold17009	1583	7925	420.2	450
EOG091H0090	Complete	scaffold8696	1291	9505	1313.8	836
EOG091H0092	Missing
EOG091H00AU	Missing
EOG091H00B7	Complete	scaffold3667	63536	74744	748.0	465
EOG091H00C4	Missing
EOG091H00CS	Complete	scaffold1053	6626	20826	1630.4	1042
EOG091H00D9	Complete	scaffold4887	2938	10452	341.2	748
EOG091H00DA	Complete	C465351	5610	19575	710.2	807
EOG091H00DB	Complete	scaffold10011	5346	14618	1366.0	919
EOG091H00DM	Duplicated	scaffold4493	1	6015	1237.1	716
EOG091H00DM	Duplicated	scaffold7894	1	6120	1331.3	672
EOG091H00E0	Missing
EOG091H00EC	Complete	scaffold14990	57963	67106	2203.0	1192
EOG091H00EN	Complete	scaffold17616	2655	11211	353.1	446
EOG091H00ER	Missing
EOG091H00EY	Complete	scaffold3813	61404	90708	1801.8	934
EOG091H00FN	Complete	C471827	14753	29351	1536.7	1066
EOG091H00G5	Complete	C466229	8692	27230	460.1	594
EOG091H00GC	Complete	scaffold2576	1847	3075	94.7	245
EOG091H00GI	Complete	C472307	76002	84660	1651.4	876
EOG091H00GM	Missing
EOG091H00GZ	Fragmented	scaffold6165	9747	19586	720.9	374
